Crop Name,Metal Name,Symbol,Bioaccumulation Factor
Spinach,Lead,Pb,0.08
Spinach,Cadmium,Cd,0.85
Spinach,Mercury,Hg,0.04
Spinach,Arsenic,As,0.12
Spinach,Iron,Fe,0.02
Spinach,Copper,Cu,0.35
Spinach,Zinc,Zn,0.72
Spinach,Chromium,Cr,0.06
Spinach,Nickel,Ni,0.40
Spinach,Manganese,Mn,0.25
Spinach,Cobalt,Co,0.10
Lettuce,Lead,Pb,0.07
Lettuce,Cadmium,Cd,0.80
Lettuce,Mercury,Hg,0.03
Lettuce,Arsenic,As,0.10
Lettuce,Iron,Fe,0.02
Lettuce,Copper,Cu,0.32
Lettuce,Zinc,Zn,0.68
Lettuce,Chromium,Cr,0.05
Lettuce,Nickel,Ni,0.38
Lettuce,Manganese,Mn,0.22
Lettuce,Cobalt,Co,0.09
Cabbage,Lead,Pb,0.05
Cabbage,Cadmium,Cd,0.62
Cabbage,Mercury,Hg,0.02
Cabbage,Arsenic,As,0.08
Cabbage,Iron,Fe,0.015
Cabbage,Copper,Cu,0.25
Cabbage,Zinc,Zn,0.55
Cabbage,Chromium,Cr,0.04
Cabbage,Nickel,Ni,0.28
Cabbage,Manganese,Mn,0.18
Cabbage,Cobalt,Co,0.07
Cauliflower,Lead,Pb,0.04
Cauliflower,Cadmium,Cd,0.55
Cauliflower,Mercury,Hg,0.02
Cauliflower,Arsenic,As,0.07
Cauliflower,Iron,Fe,0.012
Cauliflower,Copper,Cu,0.22
Cauliflower,Zinc,Zn,0.50
Cauliflower,Chromium,Cr,0.035
Cauliflower,Nickel,Ni,0.25
Cauliflower,Manganese,Mn,0.16
Cauliflower,Cobalt,Co,0.06
Wheat,Lead,Pb,0.015
Wheat,Cadmium,Cd,0.15
Wheat,Mercury,Hg,0.005
Wheat,Arsenic,As,0.03
Wheat,Iron,Fe,0.008
Wheat,Copper,Cu,0.12
Wheat,Zinc,Zn,0.28
Wheat,Chromium,Cr,0.01
Wheat,Nickel,Ni,0.08
Wheat,Manganese,Mn,0.10
Wheat,Cobalt,Co,0.02
Rice,Lead,Pb,0.02
Rice,Cadmium,Cd,0.22
Rice,Mercury,Hg,0.01
Rice,Arsenic,As,0.18
Rice,Iron,Fe,0.025
Rice,Copper,Cu,0.15
Rice,Zinc,Zn,0.32
Rice,Chromium,Cr,0.015
Rice,Nickel,Ni,0.10
Rice,Manganese,Mn,0.15
Rice,Cobalt,Co,0.03
Corn,Lead,Pb,0.012
Corn,Cadmium,Cd,0.12
Corn,Mercury,Hg,0.004
Corn,Arsenic,As,0.025
Corn,Iron,Fe,0.006
Corn,Copper,Cu,0.10
Corn,Zinc,Zn,0.22
Corn,Chromium,Cr,0.008
