index_name,index_symbol,lower_limit,upper_limit,standard_label
Contamination Factor,CF,0,1,Low contamination
Contamination Factor,CF,1,3,Moderate contamination
Contamination Factor,CF,3,6,Considerable contamination
Contamination Factor,CF,6,999999,Very high contamination

Geoaccumulation Index,Igeo,-999999,0,Practically uncontaminated (Class 0)
Geoaccumulation Index,Igeo,0,1,Uncontaminated to moderately contaminated (Class 1)
Geoaccumulation Index,Igeo,1,2,Moderately contaminated (Class 2)
Geoaccumulation Index,Igeo,2,3,Moderately to heavily contaminated (Class 3)
Geoaccumulation Index,Igeo,3,4,Heavily contaminated (Class 4)
Geoaccumulation Index,Igeo,4,5,Heavily to extremely contaminated (Class 5)
Geoaccumulation Index,Igeo,5,999999,Extremely contaminated (Class 6)

Enrichment Factor,EF,0,2,Deficient to minimal enrichment
Enrichment Factor,EF,2,5,Moderate enrichment
Enrichment Factor,EF,5,20,Significant enrichment
Enrichment Factor,EF,20,40,Very high enrichment
Enrichment Factor,EF,40,999999,Extremely high enrichment

Pollution Load Index,PLI,0,1,Unpolluted
Pollution Load Index,PLI,1,999999,Polluted

Potential Ecological Risk Factor,Er,0,40,Low ecological risk
Potential Ecological Risk Factor,Er,40,80,Moderate ecological risk
Potential Ecological Risk Factor,Er,80,160,Considerable ecological risk
Potential Ecological Risk Factor,Er,160,320,High ecological risk
Potential Ecological Risk Factor,Er,320,999999,Very high ecological risk

Potential Ecological Risk Index,PERI,0,150,Low ecological risk
Potential Ecological Risk Index,PERI,150,300,Moderate ecological risk
Potential Ecological Risk Index,PERI,300,600,Considerable ecological risk
Potential Ecological Risk Index,PERI,600,999999,Very high ecological risk

Nemerow Pollution Index,NPI,0,0.7,Safe
Nemerow Pollution Index,NPI,0.7,1,Precaution
Nemerow Pollution Index,NPI,1,2,Slight pollution
Nemerow Pollution Index,NPI,2,3,Moderate pollution
Nemerow Pollution Index,NPI,3,999999,Heavy pollution

Hazard Quotient,HQ,0,1,Safe
Hazard Quotient,HQ,1,999999,Potential health risk

Health Index,HI,0,1,Safe
Health Index,HI,1,999999,Potential health risk
